,slang,formal
0,jb,janji bayar
1,byr,bayar
2,kons,konsumen
3,cust,customer
4,rmh,rumah
5,ybs,yang bersangkutan
6,fu,follow up
7,kos2an,kos kosan
8,ortu,orang tua
9,sp,surat perjanjian
10,tlp,telpon
11,almt,alamat
12,tmpt,tempat
13,almat,alamat
14,tmpat,tempat
15,sdh,sudah
16,blm,belum
17,krmh,ke rumah
18,kntr,kantor
19,tdk,tidak
20,utk,untuk
21,drmh,di rumah
22,bsk,besok
23,cons,konsumen
24,bayr,bayar
25,bln,bulan
26,hr,hari
27,tgl,tanggal
28,pp,payment point
29,tlpn,telpon
30,konsmn,konsumen
31,vst,visit
32,dtg,datang
33,kost2an,kost kostan
34,psngn,pasangan
35,drmah,di rumah
36,rhmh,rumah
37,kjgn,kunjungan
38,brtemu,bertemu
39,ktemuan,ketemuan
40,alamt,alamat
41,vsit,visit
42,woww,wow
43,aminn,amin
44,met,selamat
45,netaas,menetas
46,keberpa,keberapa
47,eeeehhhh,eh
48,kata2nyaaa,kata-katanya
49,hallo,halo
50,kaka,kakak
51,ka,kak
52,daah,dah
53,aaaaahhhh,ah
54,yaa,ya
55,smga,semoga
56,slalu,selalu
57,amiin,amin
58,kk,kakak
59,trus,terus
60,kk,kakak
61,sii,sih
62,nyenengin,menyenangkan
63,bgt,banget
64,gemess,gemas
65,akuuu,aku
66,jgn,jangan
67,yaa,ya
68,udah,sudah
69,gitu,begitu
70,aja,saja
71,gemesiin,menggemaskan
72,menyenangkn,menyenangkan
73,rb,ribu
74,akau,aku
75,saranin,menyarankan
76,nemuin,menemukan
77,yah,ya
78,met,selamat
79,mnis2nya,manis-manisnya
80,gtu,begitu
81,tu,itu
82,idolaa,idola
83,bangett,banget
84,kaakk,kak
85,baaiikkk,baik
86,telaatt,telat
87,kaak,kak
88,yg,yang
89,lg,lagi
90,skarang,sekarang
91,yg,yang
92,sempet,sempat
93,karna,karena
94,ngga,enggak
95,karna,karena
96,mantep,mantap
97,loohhh,loh
98,yeee,ya
99,baguuuuus,bagus
100,sampe,sampai
101,ngikutin,mengikuti
102,gayany,gayanya
103,ngikutin,mengikuti
104,lg,lagi
105,bnk,bang
106,awaas,awas
107,siip,sip
108,abizzzz,habis
109,kerrrrennnn,keren
110,sayaa,saya
111,pengen,pengin
112,kpan,kapan
113,bgt,banget
114,sma,sama
115,sdkit,sedikit
116,bngt,banget
117,lgu,lagu
118,bener2,benar-benar
119,kharismanya,karismanya
120,aq,aku
