,remarks,label
3072,"visit ketempat usaha pemegang unit, ybs masih tunggu gaji masuk. ybs sedang mengusahakan dana untuk pembelian angsuran.",business location
296,isi ulang smc karena waktu kunjungan nama ybs belum ada di smc,unknown
613,visit alamat ybs .ke adaan rumah sepi .follow up komunikasi tlpn ybsasih tunggu uang terkumpul .masih dalam penekan .dan ybs info ybs angota matel ..masih follow up ulang .,house
357,bertemu dengan keluarga konsumen info nya konsumen sedang kerja by TLP konsumen respon JB tanggal 15 tunggu uang gajian fu kembali Febri Arianto 5132403422,unknown
732, Rumah ttup tda ad org akan d vsit dn Fu kmbali,house
1918,visit ke kons.konsntdk ada di kost fam fu kons lg dluar kons ushakn senin dpn tgl 8,other rent house
552,kunjungan alamat yg diinfokan asiap tidak menemukan tanda debitur,house
18,kons janji bayar tgl 28,unknown
3140,"Visit ke alamat usaha, ketemu pasangan kons, FU via phone ada JB tgl 25.",business location
1983,"visit ke kontrakan kons ketemu anaknya, infonya kons masih usahakan dana sampai tgl 16",other rent house
2339,visit ke domisili ybs di danaraja alamat tagih merupakan alamat orang tua ybs ybs sebagai sekretaris desa tanjung Tirta punggelan namun domisili di danaraja ybs mempunyai usaha ternak sapi dan kambinginfo ybs masih dikantor desa dihubungi by phone blm respon,other family house
2895,Dikunjungi di alamat usaha konsumen masih usahakan dana,business location
1426,visit ke alamat konsumen bekerja bertemu dengan sodara,office
1659,Janjian bertemu konsumen dikantor unit ada usaha masih berjalan tp penghasilan agak menurun,office
2579,"Fam visit ke alamat orang tua kons, bertemu ortu, ortu info kons masih di kantor, telepon belum diangkat, akan FU dan revisit.",other family house
69,bertemu kons. kons baru pulang dari PDAM pasca menagih hasil kerjanya. prakiraan hari ini akan cair. fam akan fu kembali.,unknown
1543,visit ke alamat kerja brtmu pihak security infokan ybs sdh bbrapa hari jarang terlihat ke kantor adapun ke kantor tdk lama hanya absen saja krna ybs sales lapangan. Info unit masih terlihat dipakai info dari security kons prnh ngbrol yg pinjam mantan pacar kons an ridwan namun blm pasti juga krna Kons tdk kooperatif fu by phone pun tdk pernah direspon. Ram di arahkan untuk ke tempat ybs biasa ,office
629,visit kerumah kons atas nama Andi arifin ketemuvanak kons info lagi kerja by phone masih di usahakn secepatnya menunggu uang kons keluar utk unitnya masih di kuasai sama kons  dan kons bekerja di kantor lurah benua Melayu darat akan di Fu kembali.,house
1778,Visit ke tmpt kerja di Puskesmas Hutaimbaru brtmu rekan info rekan kons sdg ke Kantor Dinas Kesehatan fu by phone JB tgl 26/1/24.,office
2196,visit ke kons.konsntdk ada di kost visit kembali,other rent house
396,bertemu dengan orangtua debitur. janji pembayaran angsuran nunggu tagihan proyek bego cair. karakter bayar dan banyak hutang. janji pembayaran,unknown
94,konsumen sedang mengupayakan dana ,unknown
276,kons ada mobil tidak ada dan kons sebelum sudah bayar dan ada jb lagi 1x di tgl 20/07/24,unknown
1004,visit kekebun kons dan pasangan bayar partial via EDC ,others
982,visit ke alamat lain sebelumnya sudah visit ke alamat dan alamat kons tidak valid info rt tidak mengenali kons fu byphone kons ada jb tgl 18 revisit.,others
